Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AXP,American Express Company,117.35,0.4,0.34%,117.44,115.82,706900,12/24/20
AZO,Autozone,1204.22,11.23,0.94%,1208.01,1187.13,82300,12/24/20
BA,Boeing Company,217.15,-2.54,-1.16%,219.88,216.05,6398500,12/24/20
BAC,Bank of America Corp,29.96,-0.09,-0.30%,30.27,29.74,22632199,12/24/20
BAX,Baxter International Inc,79.59,0.84,1.07%,79.61,78.64,743200,12/24/20
BBY,Best Buy Company,102.55,0.21,0.21%,103.44,101.83,996700,12/24/20
BDX,Becton Dickinson and Company,247.99,3.74,1.53%,249.25,244.9,439900,12/24/20
BEN,Franklin Resources,24.8,0.06,0.24%,24.89,24.68,969500,12/24/20
BF.B,Brown Forman Inc Cl B,78.03,0.45,0.58%,78.09,76.71,235800,12/24/20
BIIB,Biogen Inc,248.89,-2.31,-0.92%,251.2,247.51,459400,12/24/20
BIO,Bio-Rad Laboratories,575.07,0.65,0.11%,579.22,569.89,40200,12/24/20
BK,Bank of New York Mellon Corp,41.04,0.06,0.15%,41.2,40.62,1254700,12/24/20
BKNG,Booking Holdings Inc,2088.35,-12.5,-0.59%,2119,2081,182500,12/24/20
BKR,Baker Hughes A Ge CO Cl A,21.01,-0.12,-0.57%,21.24,20.85,1213300,12/24/20
BLK,Blackrock,707.18,3.54,0.50%,710.84,703.36,173200,12/24/20
BLL,Ball Corp,92.34,0.73,0.80%,92.42,91.65,419700,12/24/20
BMY,Bristol-Myers Squibb Company,61.15,0.15,0.25%,61.36,60.94,3099600,12/24/20
BR,Broadridge Financial Solutions Llc,150.01,2.6,1.76%,150.02,147.58,162000,12/24/20
BRK.B,Berkshire Hathaway Cl B,226.53,2.29,1.02%,227.13,224.21,2386900,12/24/20
BSX,Boston Scientific Corp,34.59,0.22,0.64%,34.63,34.22,2608700,12/24/20
BWA,Borgwarner Inc,38.96,-0.66,-1.67%,39.6,38.64,567100,12/24/20
BXP,Boston Properties,93.93,1.33,1.44%,94.01,91.47,367300,12/24/20
C,Citigroup Inc,60.57,-0.21,-0.35%,61.09,59.88,6824300,12/24/20
CAG,Conagra Brands Inc,36.38,-0.03,-0.08%,36.43,36.15,807700,12/24/20
CAH,Cardinal Health,53.8,-0.06,-0.11%,54.07,53.31,349600,12/24/20
CARR,Carrier Global Corp [Carr/I],37.89,-0.27,-0.71%,38.24,37.85,1395100,12/24/20
CAT,Caterpillar Inc,179.56,1.14,0.64%,179.85,178.35,585700,12/24/20
CB,Chubb Ltd,150.83,-0.23,-0.15%,151.32,149.6,422300,12/24/20
CBOE,CBOE Global Markets Inc,92.05,0.95,1.04%,92.11,90.92,201100,12/24/20
CBRE,CBRE Group Inc,62.93,0.18,0.29%,63.04,62.15,393600,12/24/20
CCI,Crown Castle International Corp,154,1.54,1.01%,154.29,152.58,521700,12/24/20
CCL,Carnival Corp,20.84,-0.1,-0.48%,21.08,20.43,14819300,12/24/20
CDNS,Cadence Design Sys,134,0.94,0.71%,134.62,132.63,377200,12/24/20
CDW,CDW Corp,129.23,-0.62,-0.48%,130.53,128.25,392900,12/24/20
CE,Celanese Corp,129.85,0.46,0.36%,130.4,128.49,195700,12/24/20
CERN,Cerner Corp,78.41,0.72,0.93%,78.46,77.62,432000,12/24/20
CF,Cf Industries Holdings,36.81,0.04,0.11%,36.89,36.39,255800,12/24/20
CFG,Citizens Financial Group Inc/Ri,35.12,-0.24,-0.68%,35.5,34.59,1333600,12/24/20
CHD,Church & Dwight Company,86.86,-0.08,-0.09%,87.29,86.39,281800,12/24/20
CHRW,C.H. Robinson Ww,94.66,0.87,0.93%,95,93.92,405800,12/24/20
CHTR,Charter Communicatio,656.49,9.05,1.40%,657.33,646.6,1127300,12/24/20
CI,Cigna Corp,198.83,-0.15,-0.08%,199.55,197.26,497600,12/24/20
CINF,Cincinnati Financial,85.23,-0.48,-0.56%,86.22,84.21,226400,12/24/20
CL,Colgate-Palmolive Company,85.04,0.61,0.72%,85.1,84.49,733100,12/24/20
CLX,Clorox Company,203.8,1.47,0.73%,203.8,202.08,288600,12/24/20
CMA,Comerica Inc,55.9,-0.16,-0.29%,56.56,55.12,379400,12/24/20
CMCSA,Comcast Corp A,50.38,0.35,0.69%,50.44,50.08,3875300,12/24/20
CME,CME Group Inc,178.48,-1.86,-1.03%,178.85,177.15,466000,12/24/20
CMG,Chipotle Mexican Grill,1412.55,1.56,0.11%,1418.54,1406.87,101300,12/24/20
CMI,Cummins Inc,226.53,2.31,1.03%,226.7,224.04,197300,12/24/20
CMS,Cms Energy Corp,58.16,0.55,0.95%,58.2,57.45,674100,12/24/20
CNC,Centene Corp,58.02,-0.66,-1.12%,58.91,57.86,1509600,12/24/20
CNP,Centerpoint Energy Inc,21.58,0.08,0.37%,21.58,21.21,1011200,12/24/20
COF,Capital One Financial Corp,97.3,0.48,0.50%,97.42,95.79,960100,12/24/20
COG,Cabot Oil & Gas Corp,16.94,-0.23,-1.34%,17.23,16.83,1735800,12/24/20
COO,Cooper Companies,358.37,2.37,0.67%,360.42,356.21,77000,12/24/20
COP,Conocophillips,39.49,-0.59,-1.47%,40.01,38.96,3530200,12/24/20
COST,Costco Wholesale,364.58,2.69,0.74%,365.33,361.41,972500,12/24/20
CPB,Campbell Soup Company,48.55,0.44,0.91%,48.66,48,673900,12/24/20
CPRT,Copart Inc,123.71,0.36,0.29%,124.04,122.7,291300,12/24/20
CRM,Salesforce.com Inc,225.78,-1.65,-0.73%,229.19,224.83,6146200,12/24/20
CSCO,Cisco Systems Inc,44.54,0.17,0.37%,44.59,44.23,5720500,12/24/20
CSX,CSX Corp,90.05,0.38,0.42%,90.22,89.15,876300,12/24/20
CTAS,Cintas Corp,338.4,-1.02,-0.30%,342.25,336.4,185500,12/24/20
CTLT,Catalent Inc,105.31,0.45,0.43%,106.22,104.66,277700,12/24/20
CTSH,Cognizant Tech Sol,81.07,0.08,0.10%,81.35,80.6,1036900,12/24/20
CTVA,Corteva Inc,39.5,0.32,0.82%,39.55,39.03,847600,12/24/20
CTXS,Citrix Systems Inc,132.57,0.8,0.61%,133.12,131.14,431800,12/24/20
CVS,CVS Corp,67.97,-0.04,-0.06%,68.17,67.49,2117500,12/24/20
CVX,Chevron Corp,85.33,-0.36,-0.42%,85.93,84.81,3335600,12/24/20
CXO,Concho Resources Inc,57.46,-0.89,-1.53%,58.33,56.75,467000,12/24/20
D,Dominion Resources,74.23,0.19,0.26%,74.31,73.54,1064900,12/24/20
DAL,Delta Air Lines Inc,39.73,-0.51,-1.27%,40.44,39.6,5176400,12/24/20
DD,Du Pont De.Nemours Inc,69.55,0.37,0.53%,69.63,68.88,2409700,12/24/20
DE,Deere & Company,269.21,1.27,0.47%,269.58,267.32,289900,12/24/20
DFS,Discover Financial Services,88.29,-0.08,-0.09%,88.8,87.42,592600,12/24/20
DG,Dollar General Corp,211.28,0.11,0.05%,212.35,210.64,535700,12/24/20
DGX,Quest Diagnostics Inc,120.23,-0.6,-0.50%,121.64,119.64,535200,12/24/20
DHI,D.R. Horton,71.85,1.1,1.55%,72.21,70.14,1634300,12/24/20
DHR,Danaher Corp,221.49,0.92,0.42%,223.57,220.57,610900,12/24/20
DIS,Walt Disney Company,173.73,0.18,0.10%,174.58,172.38,2720900,12/24/20
DISCA,Discovery Comm A,28.57,0.31,1.10%,28.73,27.97,3471600,12/24/20
DISCK,Discovery Comm Inc,25.14,0.29,1.17%,25.23,24.59,600700,12/24/20
DISH,Dish Network Corp,31.06,0.09,0.29%,31.08,30.49,1730200,12/24/20
DLR,Digital Realty Trust,137.43,0.64,0.47%,138.17,136.53,460100,12/24/20
DLTR,Dollar Tree Inc,109.03,1.41,1.31%,109.04,107.49,651800,12/24/20
DOV,Dover Corp,124.02,0.38,0.31%,124.07,122.69,178200,12/24/20
DOW,Dow Inc,54.79,0.04,0.07%,54.97,54.33,1074800,12/24/20
DPZ,Domino's Pizza Inc,396.73,-7.02,-1.74%,404.56,395.66,184200,12/24/20
DRE,Duke Realty Corp,39.3,0.56,1.45%,39.32,38.75,592500,12/24/20
DRI,Darden Restaurants,117.89,-1.69,-1.41%,119.94,117.31,507400,12/24/20
DTE,Dte Energy Company,119.72,1.14,0.96%,119.93,118.11,353200,12/24/20
DUK,Duke Energy Corp,89.67,0.63,0.71%,89.72,88.8,733500,12/24/20
DVA,Davita Healthcare Partners Inc,115.13,0.13,0.11%,115.68,114.62,161800,12/24/20
DVN,Devon Energy Corp,15.33,-0.33,-2.11%,15.7,15.13,2793200,12/24/20
DXC,Dxc Technology Company,22.9,0.01,0.04%,23.2,22.74,580700,12/24/20
DXCM,Dexcom,355.02,-0.97,-0.27%,358.28,351.72,282400,12/24/20
EA,Electronic Arts Inc,141.81,0.3,0.21%,142.2,140.78,688100,12/24/20
EBAY,Ebay Inc,50.12,-1.01,-1.98%,51.24,49.94,2718500,12/24/20
ECL,Ecolab Inc,216.12,2.8,1.31%,216.36,212.06,279200,12/24/20
ED,Consolidated Edison Company of New York,70.44,0.37,0.53%,70.46,69.65,843500,12/24/20
EFX,Equifax Inc,193.96,1.09,0.57%,194.48,193.04,153100,12/24/20
EIX,Edison International,62.19,0.89,1.45%,62.23,61.01,382200,12/24/20
EL,Estee Lauder Companies,260.95,1.32,0.51%,261.63,259.93,285400,12/24/20
EMN,Eastman Chemical Company,101.31,0.39,0.39%,101.41,100.2,154100,12/24/20
EMR,Emerson Electric Company,79.98,-0.04,-0.05%,80.49,79.54,456500,12/24/20
EOG,Eog Resources,49.6,-0.48,-0.96%,50.2,49.04,2128400,12/24/20
EQIX,Equinix Inc,705.94,2.86,0.41%,711.43,702.6,97300,12/24/20
EQR,Equity Residential,58.2,1.13,1.98%,58.27,57.05,638000,12/24/20
ES,Eversource Energy,84.15,1.23,1.48%,84.15,82.82,697600,12/24/20
ESS,Essex Property Trust,234.25,3.01,1.30%,234.51,231.04,106600,12/24/20
ETN,Eaton Corp,118.07,1.05,0.90%,118.07,116.01,362200,12/24/20
ETR,Entergy Corp,95.35,-0.12,-0.13%,95.75,94.7,616100,12/24/20
ETSY,Etsy Inc,190.31,0.14,0.07%,193.74,188.08,1116600,12/24/20
EVRG,Evergy Inc,53.43,0.65,1.23%,53.61,52.03,1141400,12/24/20
EW,Edwards Lifesciences Corp,88.63,0.35,0.40%,88.99,88.15,441500,12/24/20
EXC,Exelon Corp,41.83,0.12,0.29%,41.95,41.41,1476600,12/24/20
EXPD,Expeditors Intl,94.64,0.13,0.14%,95.11,94.22,191000,12/24/20
EXPE,Expedia Group Inc,126.96,0.47,0.37%,127.43,125.75,564000,12/24/20
EXR,Extra Space Storage Inc,114.39,1.56,1.38%,114.44,112.86,123200,12/24/20
F,Ford Motor Company,8.86,-0.13,-1.45%,9.02,8.8,27926898,12/24/20
FANG,Diamondback Energy,48.25,0.45,0.94%,48.44,46.55,1609000,12/24/20
FAST,Fastenal Company,49.52,0.43,0.88%,49.52,49.15,704400,12/24/20
FB,Facebook Inc,267.4,-0.71,-0.26%,270.4,266.2,6702000,12/24/20
FBHS,Fortune Brands Home & Security,89.07,1.3,1.48%,89.11,87.58,179900,12/24/20
FCX,Freeport-Mcmoran Inc,24.79,-0.07,-0.28%,25.06,24.6,5107700,12/24/20
FDX,Fedex Corp,268.82,-1.89,-0.70%,272.03,267.19,1649300,12/24/20
FE,Firstenergy Corp,29.68,0.39,1.33%,29.75,29.2,1935900,12/24/20
FFIV,F5 Networks Inc,175.61,-0.25,-0.14%,176.8,174.31,120500,12/24/20
FIS,Fidelity National Information Services,140.79,6.08,4.51%,141.79,134.51,6349800,12/24/20
FISV,Fiserv Inc,112.63,1.99,1.80%,112.74,110.89,1683100,12/24/20
FITB,Fifth Third Bncp,27.58,-0.15,-0.54%,27.82,27.14,1477600,12/24/20
FLIR,Flir Systems Inc,44.54,0.3,0.68%,45.34,44.26,1208600,12/24/20
FLS,Flowserve Corp,36.68,-0.07,-0.19%,36.84,36.31,148000,12/24/20
FLT,Fleetcor Technologies,270.49,0.84,0.31%,272.53,268.91,368600,12/24/20
FMC,FMC Corp,114.43,0.59,0.52%,114.72,113.5,176500,12/24/20
FOX,Fox Corp Cl B,28,0.25,0.90%,28.13,27.75,475900,12/24/20
FOXA,Fox Corp Cl A,28.31,0.2,0.71%,28.53,28.05,1363500,12/24/20
FRC,First Republic Bank,140.53,0.07,0.05%,140.81,139.13,185600,12/24/20
FRT,Federal Realty Investment Trust,86.58,0.47,0.55%,87.01,85.32,231500,12/24/20
FTI,Technipfmc Plc,9.4,-0.07,-0.74%,9.61,9.24,1249300,12/24/20
FTNT,Fortinet Inc,149.79,-0.45,-0.30%,151.5,148.54,425500,12/24/20
FTV,Fortive Corp,69.64,0.29,0.42%,69.83,68.9,412000,12/24/20
GD,General Dynamics Corp,149.01,0.86,0.58%,149.15,147.6,447400,12/24/20
GE,General Electric Company,10.65,-0.21,-1.93%,10.85,10.62,30049600,12/24/20
GILD,Gilead Sciences Inc,57.07,-0.31,-0.54%,57.41,56.96,3441300,12/24/20
GIS,General Mills,59.13,0.14,0.24%,59.16,58.62,1127400,12/24/20
GL,Globe Life Inc,92.87,-0.03,-0.03%,93.56,91.88,76000,12/24/20
GLW,Corning Inc,36.27,-0.08,-0.22%,36.59,35.95,1190700,12/24/20
GM,General Motors Company,41.58,-0.87,-2.05%,42.2,41.21,7825300,12/24/20
GOOG,Alphabet Cl C,1738.85,6.47,0.37%,1746,1729.11,346700,12/24/20
GOOGL,Alphabet Cl A,1734.16,5.93,0.34%,1742.41,1724.35,465600,12/24/20
GPC,Genuine Parts Company,99.36,-0.04,-0.04%,99.87,98.39,149400,12/24/20
GPN,Global Payments Inc,205.55,5.29,2.64%,205.92,200.19,954100,12/24/20
GPS,Gap Inc,20.43,-0.27,-1.30%,20.73,20.27,2149800,12/24/20
GRMN,Garmin Ltd,120.21,-0.03,-0.02%,120.68,119.23,166100,12/24/20
GS,Goldman Sachs Group,256.16,-0.29,-0.11%,257.62,253.75,968100,12/24/20
GWW,W.W. Grainger,415.57,4.91,1.20%,416.04,410.37,152800,12/24/20
HAL,Halliburton Company,19.21,-0.27,-1.39%,19.59,18.99,2895500,12/24/20
HAS,Hasbro Inc,93.15,0.4,0.43%,93.34,92.01,201000,12/24/20
HBAN,Huntington Bcshs,12.35,-0.1,-0.80%,12.51,12.16,4545200,12/24/20
HBI,Hanesbrands Inc,14.59,-0.14,-0.95%,14.8,14.37,2241400,12/24/20
HCA,Hca Holdings Inc,164.24,-1.62,-0.98%,166.87,164.08,288800,12/24/20
HD,Home Depot,270.92,1.11,0.41%,271.36,269.4,1093900,12/24/20
HES,Hess Corp,53.54,-0.66,-1.22%,54.25,53.28,783100,12/24/20
HFC,Hollyfrontier Corp,25.35,-0.1,-0.39%,25.5,24.99,731600,12/24/20
HIG,Hartford Financial Services Group,48.41,0.14,0.29%,48.42,47.72,490700,12/24/20
HII,Huntington Ingalls Industries,165.4,-1.15,-0.69%,166.6,163.88,94600,12/24/20
HLT,Hilton Inc,106.89,0.38,0.36%,106.89,105.65,822300,12/24/20
HOLX,Hologic Inc,74.77,-0.29,-0.39%,75.1,74.2,571700,12/24/20
HON,Honeywell International Inc,209.53,-0.46,-0.22%,210.7,208.6,754900,12/24/20
HPE,Hewlett Packard Enterprise Comp,11.76,0.01,0.09%,11.84,11.66,2539900,12/24/20
HPQ,Hp Inc,24.26,0.05,0.21%,24.45,24.16,2309700,12/24/20
HRL,Hormel Foods Corp,47.17,-0.17,-0.36%,47.29,46.82,567300,12/24/20
HSIC,Henry Schein Inc,65.83,-0.61,-0.92%,66.4,65.25,155800,12/24/20
HST,Host Marriott Financial Trust,14.2,0.16,1.14%,14.2,13.88,2138500,12/24/20
HSY,Hershey Foods Corp,149.95,0.5,0.33%,150.18,148.84,188200,12/24/20
HUM,Humana Inc,404.83,-0.26,-0.06%,407.24,403,271000,12/24/20
HWM,Howmet Aerospace Inc,27.38,-0.39,-1.40%,27.82,27.11,878500,12/24/20
IBM,International Business Machines,124.69,0.79,0.64%,125.1,124.21,1761100,12/24/20
ICE,Intercontinental Exchange,112.69,0.51,0.45%,112.95,111.81,511200,12/24/20
IDXX,Idexx Laboratories,497.14,3.46,0.70%,499.12,493.16,69500,12/24/20
IEX,Idex Corp,196.56,1.75,0.90%,196.56,192.88,152800,12/24/20
IFF,International Flavors & Fragrances,110.06,-0.47,-0.43%,110.15,109.26,626800,12/24/20
ILMN,Illumina Inc,367.29,0.77,0.21%,369.06,362.01,269200,12/24/20
INCY,Incyte Corp,87.37,-0.56,-0.64%,88.37,87.04,182100,12/24/20
INFO,IHS Markit Ltd,86.37,0.77,0.90%,86.58,85.52,1775600,12/24/20
INTC,Intel Corp,47.07,0.5,1.07%,47.09,46.34,11865600,12/24/20
INTU,Intuit Inc,381.16,4.24,1.12%,381.79,377.43,441900,12/24/20
IP,International Paper Company,49.76,0.21,0.42%,49.8,49.19,439100,12/24/20
IPG,Interpublic Group of Companies,23.52,0,0.00%,23.61,23.27,850600,12/24/20
IPGP,Ipg Photonics Corp,220.97,0.81,0.37%,222.44,219.19,40100,12/24/20
IQV,Iqvia Holdings Inc,175.94,0.39,0.22%,176.46,174.94,261700,12/24/20
IR,Ingersoll Rand Inc,46.03,0.27,0.59%,46.04,45.19,609700,12/24/20
IRM,Iron Mountain Inc,29.54,0.07,0.24%,29.69,29.33,1070800,12/24/20
ISRG,Intuitive Surg Inc,807,-2.65,-0.33%,812.34,803.01,163200,12/24/20
IT,Gartner Inc,158.63,1.59,1.01%,159.36,157.41,150900,12/24/20
ITW,Illinois Tool Works Inc,202.44,0.46,0.23%,202.97,201.07,309000,12/24/20
IVZ,Invesco Plc,17.61,0.06,0.34%,17.62,17.38,849500,12/24/20
J,Jacobs Engineering Group Inc,107.28,0.43,0.40%,107.33,106.56,144500,12/24/20
JBHT,J B Hunt Transport,137.42,-1.02,-0.74%,138.65,136.72,245200,12/24/20
JCI,Johnson Controls Intl,45.93,0.01,0.02%,46.2,45.67,842500,12/24/20
JKHY,Jack Henry & Assoc,157.69,1.76,1.13%,158.45,155.65,202700,12/24/20
JNJ,Johnson & Johnson,152.47,0.53,0.35%,153.04,151.82,2114900,12/24/20
JNPR,Juniper Networks,22.4,0.06,0.27%,22.46,22.22,758000,12/24/20
JPM,JP Morgan Chase & Company,124.52,-0.55,-0.44%,125.55,123.57,4164900,12/24/20
K,Kellogg Company,61.78,0.17,0.28%,61.9,61.42,524800,12/24/20
KEY,Keycorp,16.19,-0.14,-0.86%,16.4,15.97,2250800,12/24/20
KEYS,Keysight Technologies Inc Comm,130.95,0.53,0.41%,130.99,130.12,233800,12/24/20
KHC,Kraft Heinz Company,34.98,0.18,0.52%,34.98,34.62,1575900,12/24/20
KIM,Kimco Realty Corp,14.52,0.13,0.90%,14.65,14.27,921500,12/24/20
KLAC,K L A-Tencor Corp,259.08,6.29,2.49%,259.08,253.97,367200,12/24/20
KMB,Kimberly-Clark Corp,133.89,0.39,0.29%,134.35,133.05,529700,12/24/20
KMI,Kinder Morgan,13.83,0,0.00%,13.86,13.69,5520100,12/24/20
KMX,Carmax Inc,92.3,-0.88,-0.94%,93.47,91.25,1042200,12/24/20
KO,Coca-Cola Company,53.44,0.36,0.68%,53.55,53.02,3265500,12/24/20
KR,Kroger Company,31.53,0.14,0.45%,31.62,31.25,2918900,12/24/20
KSU,Kansas City Southern,199.73,0.51,0.26%,200.27,197.05,385700,12/24/20
L,Loews Corp,44,-0.1,-0.23%,44.24,43.74,300100,12/24/20
LB,L Brands Inc,38.96,-0.23,-0.59%,39.25,38.23,1045200,12/24/20
LDOS,Leidos Holdings Inc,104.24,-0.37,-0.35%,105.12,103.4,198100,12/24/20
LEG,Leggett & Platt Inc,42.48,0.59,1.41%,42.56,41.36,568200,12/24/20
LEN,Lennar Corp,80.43,1.86,2.37%,80.5,77.83,955400,12/24/20
LH,Laboratory Corp of America Holdings,203.87,-0.19,-0.09%,205,202.74,206000,12/24/20
LHX,L3Harris Technologies Inc,185.16,-0.69,-0.37%,186.61,184.46,281700,12/24/20
LIN,Linde Plc,256.62,1.52,0.60%,256.98,254.77,276300,12/24/20
LKQ,LKQ Corp,36.26,0.01,0.03%,36.4,35.84,334600,12/24/20
LLY,Eli Lilly and Company,166.66,1.18,0.71%,167.94,165.85,627200,12/24/20
LMT,Lockheed Martin Corp,351.97,0.37,0.11%,354.06,350.4,508700,12/24/20
LNC,Lincoln National Corp,49.74,-0.21,-0.42%,49.95,49.04,484400,12/24/20
LNT,Alliant Energy Corp,50.02,0.48,0.97%,50.07,47.61,743100,12/24/20
LOW,Lowe's Companies,162.77,0.34,0.21%,163.2,162.1,1044600,12/24/20
LRCX,Lam Research Corp,480.34,9.21,1.95%,480.34,472.9,332900,12/24/20
LUMN,Centurylink,9.86,-0.04,-0.40%,10,9.8,4775200,12/24/20
LUV,Southwest Airlines Company,46.28,-0.47,-1.01%,47.09,45.81,2973400,12/24/20
LVS,Las Vegas Sands,57.01,-0.18,-0.31%,57.49,56.71,898100,12/24/20
LW,Lamb Weston Holdings Inc,77.65,-0.95,-1.21%,78.44,76.75,294900,12/24/20
LYB,Lyondellbasell Industries NV,90.61,-0.02,-0.02%,90.76,89.46,255700,12/24/20
LYV,Live Nation Entertainment,71.64,0.01,0.01%,72.04,71.35,381800,12/24/20
MA,Mastercard Inc,336,6.77,2.06%,336.37,330.35,1308900,12/24/20
MAA,Mid-America Apartment Communities,124.6,1.94,1.58%,124.61,122.97,98000,12/24/20
MAR,Marriot Int Cl A,128.75,0.14,0.11%,128.98,127.5,592000,12/24/20
MAS,Masco Corp,56.79,0.56,1.00%,56.83,56.23,674600,12/24/20
MCD,McDonald's Corp,211.39,-0.63,-0.30%,212.74,211.14,1047600,12/24/20
MCHP,Microchip Technology,136.77,0.77,0.57%,137.5,135.3,451800,12/24/20
MCK,Mckesson Corp,170.78,0.71,0.42%,170.99,169.09,256700,12/24/20
MCO,Moody's Corp,278.88,3.18,1.15%,279.36,275.32,210300,12/24/20
MDLZ,Mondelez Intl Inc,57.85,0.5,0.87%,57.87,57.32,2347700,12/24/20
MDT,Medtronic Inc,114.03,0.09,0.08%,114.53,113.61,1025200,12/24/20
MET,Metlife Inc,46.31,0.18,0.39%,46.32,45.8,1580500,12/24/20
MGM,MGM Resorts International,30.74,-0.24,-0.77%,31.03,30.57,1775100,12/24/20
MHK,Mohawk Industries,138.72,1.57,1.14%,138.87,135.46,161800,12/24/20
MKC,Mccormick & Company Inc,93.47,0.49,0.53%,93.59,92.46,217600,12/24/20
MKTX,Marketaxess Holdings,573.08,0.11,0.02%,582.68,567.86,148100,12/24/20
MLM,Martin Marietta Materials,275.05,1.26,0.46%,275.75,271.07,79400,12/24/20
MMC,Marsh & Mclennan Companies,115.13,1.44,1.27%,115.29,113.92,372300,12/24/20
MMM,3M Company,174.52,0.53,0.30%,174.79,173.42,656100,12/24/20
MNST,Monster Beverage Cp,89.81,0.87,0.98%,90.02,88.99,461400,12/24/20
MO,Altria Group,41.72,-1.15,-2.68%,41.92,41.15,6055800,12/24/20
